0,Went to the park with my BFF. Wanted to get abducted by werewolves. Didn't happen. 
0,@zorocaster been a while since i had the charsiew there  its damn good
1,@stephjonesmusic YEs  lol
1,Hello everyone  Good Morning . . . . why is mascara so difficult to get off???
0,"sooo, last night was fun. waking up for math wasnt  haha u reap what u sew!"
1,"@glenzgolfmmbr now that is deep, and yes I have had a hole in one..very insightful. Thanks  I appreciate the sincerity of that statement."
0,I can't believe Jon and Kate filed for divorce 
1,@RobertaMarquez Hey Im watching the news LA is packed with people I hope your not crusin down Whittier..is so we will see you on the news 
0,i forgot to buy a dvd for my friend record the second season of Kyle XY for me  @camilaaq
0, sorry my twats are all complaints. But i don't want to go to the ER. 
1,@mhittinger: It's a good thing they finished my oil change quickly. We'll have to recreate this at AWP some time... 
1,@Movens alright! So we'll pay the extra $15 a bag! 
1,hey @TheBellaV  nice site!
0,#squarespace I broke my leg 
1,today is my birthday  Happy Birthday Saturn.... (Now I am 22 year old)
1,@michaelseater http://twitpic.com/6r36p - BEAUTiiFUL PiiCTURE 
1,"@richardwolak Thanks so much for the tweet, Richard.  "
0,&lt;- wants to be drunk making music 
1,@spouseaggro I also recently played through The Witcher. Really rocked my socks. High quality RPG 
0,@fourstar valuable screen space taken up by men in short shorts? that could be used for even more geeky statistics 
1,"@ena2345 hehe, thanks "
1,@gympanzi Better now...thanks 
1,Army of Me was awesome! Saw some of my favorite people   tomorrow- VA Beach! Nkotb and maybe the pietasters.
1,@gloriabell Too funny (and so true). It only gets scary when you have the box of bonbons next to the laptop 
1,"@StaceyMonk haha, sure no problem "
0,@msJodiOdie its such a sad situation. Though 1-in-3 of us will be beaten. In US every 15 seconds &amp; 3 killed a day. It's sadly commonplace 
0,Needs 2 do some jogging but can't b bothered 2 get off the sofa - not a good start!!!!!!!!!!! 
0,found out that my phone is not serviced by twitter 
0,&quot;jackie get it thru ur head ily&quot; -- I miss them words 
0,@Drattigan I can finish it on my own too 
1,@verwon well thats good   he seemed to really enjoy hanging out with mom ;)
0,"just came from having a fabulous lunch/breakfast/dinner with mj, suzie, and rebbabie off to study so more "
0,My ass is all wet! 
0,cant sleep  ughhhhhh
0,eye hurts 
0,i wish my phone could play videos  cant wait til i get my computer back
0,i can't believe that kid ditched me at the dance!  i got tricker!
1,@mussomitchel will you make my little sister superrr happy and say hi to her?  @KTLEH &lt;-- her name's Katerina
1,Saw a rainbow earlier    http://twitpic.com/6tbix lightning on the way back was INSANE! awesome day tho.....I'm beat..goin to bed....
0,now smells like Asian after cooking dinner. 
1,@mileycyrus I surely will 
0,what a long hot day...ahhh i miss my bed 
1,@aplusk is so hot! Decided to watch What Happens in Vegas first. 
1,OFFLINEEEEE 
0,says Trojan infested my laptop again...now im demoted  http://plurk.com/p/13qr5k
1,is all of a sudden tired and is going to go to bed. Fun day planned for tomorrow! 
0,Too many Folkers M.I.A. again. 
1,"@Alison_London You're right, June Birthdays are the best "
1,it's jamming session and listening to jazz. i love jazz it's always makes me feel chill out 
0,is getting ready to go to Bethel 54's last meeting ever. 
0,Its raining hella hard and I have to drive around in it.  enough of spring and more of summer plz!
0,"Hoping no rain, roof has small leak "
1,@jesse_la oh hayell no. I'm glad u didn't! What would I do without u! Lol  today has been so boring! What'd u do today?
0,@JeJa6 i know my Favorite Sun Flower im starting to forget how you look  lol we have to have a hw night;)
1,@garygomusic woop!!  Glad everything is going fantastically!! Looking forward to the video  xx
1,@nileylovestory yea true be the bigger person &amp; let them be delusional  arent u sad mileys goin 2 europe? No nileyness :/
1,Now back 2 da lil things dat make me happy 
1,@twinkleboi very hard but stuck at it and well 13 years later still doing it 
1,Im so glad to have my ipod back that tears keep randomly rolling down my face and plunging off my permanent smile 
0,@mistajayyy can i still eat nuggets though? i wish you had shared with me!! 
1,"@boredwife thanks lovely lady, love your tatt  hows tricks? xx"
1,@JustinMGaston I will be your friend ;) 
1,english exam today .. boring ! eating cookies though and that's yummie ^^ follow me 
1,"@STARBUCK_NOLA I come highly recommended from @NOCrimeExaminer, so please follow me. "
0,#myweakness- havin ya girl ya wife in &quot;love&quot; wit trey thongz n can't do nothin bout it... 
0,@x_Vivaldi_x Their header teases me with longcat and it makes me sad. 
1,And I love Viki and we are the best team..smile-laugh team 
1,@lynnliying * EH. david is my new husband alright! and he will 'always be MY baby&quot;  oh that sexy voice of his!!!
0,Some things are so unfair 
0,I'm sad.  And my heart's dropped. I'm just tired of everything.
0,Getting 1263 kbps down / 354 kbps up / 362 ms ping with 3G. My WiFi at home is 304/315/303. 
1,@candeborio Yes I am 
1,@rknap14 thanks  cook again? what are you caught up with?
1,@iron_wine 
1,i looove having nothing to do   Too bad that means i'm living off the 45 dollars i got from coin star....
0,"@JaysFreaky Aww, poor Jason.  I'll totally cuddle with you!"
1,"@tommcfly hey tom, how you feeling 2day??? i just ordered the new DVD, hope it comes sson, cant wait to see it!! LOOKS GOOD   xoxoxo"
0,@thatboymeta im very sorry for your loss sweety  and im here if you need me.. my phone dead so cnt call but if u wanna talk im here!
1,Happy Mother's Day. . .  
1,wweeeeeee #Bleach 222 time  
1,"@miazevedo Thanks, bb!  I better. YOU CAN DO IT TOO. I BELIEVE IN YOUUU."
0,Day for at Lake West.... SERIOUSLY!!! Where is my french toast? Where is my MRI? I want to go home 
0,jesus...it's not a good time for detroit sports vs pittsburgh sports...our baseball team can't even beat THEIR damn baseball team 
0,just took a test in accounting  blah
1,"I am a pacifist with everyone else, but not her  @vagelisv"
0,Mannn i have games on thursday and friday @ 6  just got our tshirts for summerleague but theyre not that niceee !
1,"@JoelMadden Be nice, she's preggo. lol  "
